True/Mir,Mag/IP,BP,BP Con.,iBB/P2B2 Con.,SBC Flex Name,4-asic group / DCB power,M/S/A,PPP Pos. (Correct),PPP Pins (Correct),LVR,LVR Ch.,C Len (m),A Len (m),Cav. Map. PPP Label (After Moving Pos.),Replace w/ PPP Label,Cav. Map. LVR Label (After Moving Pos.),Replace w/ LVR Label
Mirror,mag,gamma,JP1,JPU0,S0M,P2E,A,P13,"5,13",20,4,7.6,|8.4|,P16 - 5/13 | PT_b_gamma_X2S_P2E,P13 - 5/13 | PT_b_gamma_S0M_P2E,5 - J13 - 4/3 2a | PT_b_gamma_X2S_P2E,20 - J12 - 2/1 1b | PT_b_gamma_S0M_P2E
Mirror,mag,gamma,JP1,JPU0,S0M,P3,A,P13,"6,14",17,1,7.2,7.8,P16 - 6/14 | PT_b_gamma_X2S_P3,P13 - 6/14 | PT_b_gamma_S0M_P3,2 - J13 - 2/1 2b | PT_b_gamma_X2S_P3,17 - J12 - 8/7 2a | PT_b_gamma_S0M_P3
 , , , , , , , , , , , , , , , , , 
Mirror,mag,gamma,JP4,JPU1,S1S,P1W,A,P14,"1,9",20,6,7.6,|8.4|,P14 - 1/9 | PT_b_gamma_S1M_P1W,P14 - 1/9 | PT_b_gamma_S1S_P1W,24 - J13 - 8/7 1b | PT_b_gamma_S1M_P1W,20 - J13 - 6/5 1b | PT_b_gamma_S1S_P1W
Mirror,mag,gamma,JP4,JPU1,S1S,P2E,A,P14,"2,10",17,4,7.2,7.8,P14 - 2/10 | PT_b_gamma_S1M_P2E,P14 - 2/10 | PT_b_gamma_S1S_P2E,20 - J12 - 4/3 1b | PT_b_gamma_S1M_P2E,17 - J12 - 2/1 2a | PT_b_gamma_S1S_P2E
Mirror,mag,gamma,JP4,JPU1,S1S,P3,A,P14,"3,11",14,7,|6.8|,7.2,P14 - 3/11 | PT_b_gamma_S1M_P3,P14 - 3/11 | PT_b_gamma_S1S_P3,17 - J12 - 6/5 2a | PT_b_gamma_S1M_P3,14 - J13 - 4/3 2b | PT_b_gamma_S1S_P3
Mirror,mag,gamma,JP5,JPU1,S1M,P1W,A,P14,"4,12",24,5,7.6,|8.4|,P14 - 4/12 | PT_b_gamma_S1S_P1W,P14 - 4/12 | PT_b_gamma_S1M_P1W,20 - J13 - 6/5 1b | PT_b_gamma_S1S_P1W,24 - J13 - 8/7 1b | PT_b_gamma_S1M_P1W
Mirror,mag,gamma,JP5,JPU1,S1M,P2E,A,P14,"5,13",20,3,7.6,|8.4|,P14 - 5/13 | PT_b_gamma_S1S_P2E,P14 - 5/13 | PT_b_gamma_S1M_P2E,17 - J12 - 2/1 2a | PT_b_gamma_S1S_P2E,20 - J12 - 4/3 1b | PT_b_gamma_S1M_P2E
Mirror,mag,gamma,JP5,JPU1,S1M,P3,A,P14,"6,14",17,2,7.2,7.8,P14 - 6/14 | PT_b_gamma_S1S_P3,P14 - 6/14 | PT_b_gamma_S1M_P3,14 - J13 - 4/3 2b | PT_b_gamma_S1S_P3,17 - J12 - 6/5 2a | PT_b_gamma_S1M_P3
 , , , , , , , , , , , , , , , , , 
Mirror,mag,gamma,JP8,JPU2,S2S,P1W,A,P15,"1,9",20,1,7.6,|8.4|,P15 - 1/9 | PT_b_gamma_S0M_P1W,P15 - 1/9 | PT_b_gamma_S2S_P1W,24 - J13 - 2/1 1b | PT_b_gamma_S0M_P1W,20 - J12 - 8/7 1b | PT_b_gamma_S2S_P1W
Mirror,mag,gamma,JP8,JPU2,S2S,P2E,A,P15,"2,10",17,7,7.2,7.8,P15 - 2/10 | PT_b_gamma_S0M_P2E,P15 - 2/10 | PT_b_gamma_S2S_P2E,20 - J12 - 2/1 1b | PT_b_gamma_S0M_P2E,17 - J13 - 4/3 2a | PT_b_gamma_S2S_P2E
Mirror,mag,gamma,JP8,JPU2,S2S,P3,A,P15,"3,11",14,8,|6.8|,7.2,P15 - 3/11 | PT_b_gamma_S0M_P3,P15 - 3/11 | PT_b_gamma_S2S_P3,17 - J12 - 8/7 2a | PT_b_gamma_S0M_P3,14 - J13 - 2/1 2b | PT_b_gamma_S2S_P3
Mirror,mag,gamma,JP9,JPU2,S2M,P1W,A,P15,"4,12",24,6,7.6,|8.4|,P15 - 4/12 | PT_b_gamma_S0S_P1W,P15 - 4/12 | PT_b_gamma_S2M_P1W,20 - J13 - 2/1 1b | PT_b_gamma_S0S_P1W,24 - J13 - 6/5 1b | PT_b_gamma_S2M_P1W
Mirror,mag,gamma,JP9,JPU2,S2M,P2E,A,P15,"5,13",20,2,7.6,|8.4|,P15 - 5/13 | PT_b_gamma_S0S_P2E,P15 - 5/13 | PT_b_gamma_S2M_P2E,20 - J13 - 8/7 1b | PT_b_gamma_S0S_P2E,20 - J12 - 6/5 1b | PT_b_gamma_S2M_P2E
Mirror,mag,gamma,JP9,JPU2,S2M,P3,A,P15,"6,14",17,5,7.6,7.8,P15 - 6/14 | PT_b_gamma_S0S_P3,P15 - 6/14 | PT_b_gamma_S2M_P3,17 - J12 - 4/3 2a | PT_b_gamma_S0S_P3,17 - J13 - 8/7 2e | PT_b_gamma_S2M_P3
 , , , , , , , , , , , , , , , , , 
Mirror,mag,alpha,JP1,JPL0,S0M,P4,A,P19,"1,9",13,1,|7.6|,7.6,P19 - 1/9 | PT_b_alpha_X0M_P4,P19 - 1/9 | PT_b_alpha_S0M_P4,1 - J12 - 8/7 2c | PT_b_alpha_X0M_P4,13 - J12 - 8/7 2c | PT_b_alpha_S0M_P4
Mirror,mag,alpha,JP5,JPL1,S1M,P4,A,P19,"2,10",13,2,|7.6|,7.6,P19 - 2/10 | PT_b_alpha_X1M_P4,P19 - 2/10 | PT_b_alpha_S1M_P4,1 - J12 - 6/5 2c | PT_b_alpha_X1M_P4,13 - J12 - 6/5 2c | PT_b_alpha_S1M_P4
