True/Mir,Mag/IP,BP,BP Con.,iBB/P2B2 Con.,SBC Flex Name,4-asic group / DCB power,M/S/A,Cav. Map. PPP Pos.,Cav. Map. PPP Pins,Surf. Map. PPP Pos.,Surf. Map. PPP Pins,LVR,LVR Ch.,C Len (m),A Len (m),Cav. Map. PPP Pop.,Surf. Map. PPP Pop.
Mirror,mag,beta,JP11,JPU2,X2S,P1W,A,P10,"4,12",P12,"1,9",7,1.0,7.2,7.800000000000001,6,5
Mirror,mag,beta,JP11,JPU2,X2S,P2E,A,P10,"5,13",P12,"2,10",4,7.0,7.2,7.800000000000001,6,5
Mirror,mag,beta,JP10,JPU2,X2M,P1W,A,P10,"1,9",P12,"4,12",12,2.0,7.2,7.800000000000001,6,5
Mirror,mag,beta,JP10,JPU2,X2M,P2E,A,P10,"2,10",P12,"5,13",7,2.0,7.2,7.800000000000001,6,5
Mirror,mag,beta,JP10,JPU2,X2M,P3,A,P10,"3,11",P12,"6,14",4,5.0,7.2,7.800000000000001,6,5
 , , , , , , , , , , , , , , , , , 
Mirror,mag,gamma,JP3,JPU0,X0S,P1W,A,P18,"4,12",P16,"1,9",8,8.0,7.2,7.800000000000001,6,6
Mirror,mag,gamma,JP3,JPU1,X0S,P2E,A,P18,"5,13",P16,"2,10",8,5.0,7.2,7.800000000000001,6,6
Mirror,mag,gamma,JP3,JPU1,X0S,P3,A,P18,"6,14",P16,"3,11",5,3.0,7.2,7.800000000000001,6,6
Mirror,mag,gamma,JP2,JPU0,X0M,P1W,A,P18,"1,9",P16,"4,12",12,8.0,7.2,7.800000000000001,6,6
Mirror,mag,gamma,JP2,JPU0,X0M,P2E,A,P18,"2,10",P16,"5,13",8,4.0,7.2,7.800000000000001,6,6
Mirror,mag,gamma,JP2,JPU0,X0M,P3,A,P18,"3,11",P16,"6,14",5,1.0,7.2,7.800000000000001,6,6
 , , , , , , , , , , , , , , , , , 
Mirror,mag,gamma,JP7,JPU1,X1S,P1W,A,P17,"4,12",P17,"1,9",8,6.0,7.2,7.800000000000001,6,6
Mirror,mag,gamma,JP7,JPU1,X1S,P2E,A,P17,"5,13",P17,"2,10",5,4.0,7.2,7.800000000000001,6,6
Mirror,mag,gamma,JP7,JPU1,X1S,P3,A,P17,"6,14",P17,"3,11",2,7.0,|6.8|,7.2,6,6
Mirror,mag,gamma,JP6,JPU1,X1M,P1W,A,P17,"1,9",P17,"4,12",12,5.0,7.2,7.800000000000001,6,6
Mirror,mag,gamma,JP6,JPU1,X1M,P2E,A,P17,"2,10",P17,"5,13",8,3.0,7.2,7.800000000000001,6,6
Mirror,mag,gamma,JP6,JPU1,X1M,P3,A,P17,"3,11",P17,"6,14",5,2.0,7.2,7.800000000000001,6,6
 , , , , , , , , , , , , , , , , , 
Mirror,mag,gamma,JP11,JPU2,X2S,P1W,A,P16,"4,12",P18,"1,9",8,1.0,7.2,7.800000000000001,6,5
Mirror,mag,gamma,JP11,JPU2,X2S,P2E,A,P16,"5,13",P18,"2,10",5,7.0,7.2,7.800000000000001,6,5
Mirror,mag,gamma,JP10,JPU2,X2M,P1W,A,P16,"1,9",P18,"4,12",12,6.0,7.2,7.800000000000001,6,5
Mirror,mag,gamma,JP10,JPU2,X2M,P2E,A,P16,"2,10",P18,"5,13",8,2.0,7.2,7.800000000000001,6,5
Mirror,mag,gamma,JP10,JPU2,X2M,P3,A,P16,"3,11",P18,"6,14",5,5.0,7.2,7.800000000000001,6,5
 , , , , , , , , , , , , , , , , , 
Mirror,mag,alpha,JP2,JPL0,X0M,P4,A,P19,"1,9",P22,"1,9",1,1.0,|7.6|,7.6000000000000005,4,5
Mirror,mag,alpha,JP6,JPL1,X1M,P4,A,P19,"2,10",P22,"2,10",1,2.0,|7.6|,7.6000000000000005,4,5
Mirror,mag,alpha,JP10,JPL2,X2M,P4,A,P19,"3,11",P22,"3,11",1,5.0,|7.6|,7.6000000000000005,4,5
Mirror,mag,alpha,JP11,JPL2,X2S,P3,A,P4,"6,14",P22,"4,12",1,4.0,|6.8|,7.2,7,5
Mirror,mag,alpha,JP3,JPL1,X0S,P4,A,P19,"5,13",P22,"5,13",1,7.0,|7.6|,7.6000000000000005,4,5
 , , , , , , , , , , , , , , , , , 
Mirror,mag,beta,JP2,JPL1,X0M,P4,A,P25,"1,9",P28,"1,9",2,1.0,|7.6|,7.6000000000000005,3,4
Mirror,mag,beta,JP6,JPL1,X1M,P4,A,P25,"2,10",P28,"2,10",2,2.0,|7.6|,7.6000000000000005,3,4
Mirror,mag,beta,JP10,JPL2,X2M,P4,A,P25,"3,11",P28,"3,11",1,6.0,|7.6|,7.6000000000000005,3,4
Mirror,mag,beta,JP11,JPL2,X2S,P3,A,P10,"6,14",P28,"4,12",2,4.0,|6.8|,7.2,6,4
 , , , , , , , , , , , , , , , , , 
Mirror,mag,gamma,JP2,JPL1,X0M,P4,A,P31,"1,9",P34,"1,9",2,5.0,|7.6|,7.6000000000000005,3,4
Mirror,mag,gamma,JP6,JPU1,X1M,P4,A,P31,"2,10",P34,"2,10",2,6.0,|7.6|,7.6000000000000005,3,4
Mirror,mag,gamma,JP10,JPL2,X2M,P4,A,P31,"3,11",P34,"3,11",1,8.0,|7.6|,7.6000000000000005,3,4
Mirror,mag,gamma,JP11,JPU2,X2S,P3,A,P16,"6,14",P34,"4,12",2,8.0,|6.8|,7.2,6,4
