PPP Label,Pos. Src,Pos. Ret,Backplane,BP Con.,Flex Name,4ASIC-group/DCB power,SBC Label,LVR Logical ID,LVR ch.,M/S/A,Connector on CCTB,Measured Voltage,Measured Current,Result,Comments
P5,4,12,alpha,JP6,X1M,P1W,45 - J12 - 4/3  Y  45 - J12 - 8/7,45,3 Y 1,M,,,,,
P5,5,13,alpha,JP6,X1M,P2E,41 - J12 - 4/3,41,3,A,,,,,
P5,6,14,alpha,JP6,X1M,P3,39 - J12 - 6/5,39,2,A,,,,,
P5,7,15,alpha,JP3,X0S,P2W,43 - J12 - 4/3  Y  43 - J12 - 8/7,43,3 Y 1,S,,,,,
P5,8,16,alpha,JP6,X1M,P1E,45 - J12 - 2/1  Y  45 - J12 - 6/5,45,4 Y 2,S,,,,,
P6,1,9,alpha,JP11,X2S,P1W,41 - J12 - 8/7,41,1,A,,,,,
P6,2,10,alpha,JP11,X2S,P2E,39 - J13 - 4/3,39,7,A,,,,,
P6,4,12,alpha,JP10,X2M,P1W,45 - J13 - 8/7,45,5,A,,,,,
P6,5,13,alpha,JP10,X2M,P2E,41 - J12 - 6/5,41,2,A,,,,,
P6,6,14,alpha,JP10,X2M,P3,39 - J13 - 8/7,39,5,A,,,,,
P6,7,15,alpha,JP7,X1S,P1E,43 - J13 - 2/1  Y  43 - J13 - 6/5,43,8 Y 6,S,,,,,
P22,1,9,alpha,JP2,X0M,P4,37 - J12 - 8/7,37,1,A,,,,,
P22,2,10,alpha,JP6,X1M,P4,37 - J12 - 6/5,37,2,A,,,,,
P22,3,11,alpha,JP10,X2M,P4,37 - J13 - 8/7,37,5,A,,,,,
P22,4,12,alpha,JP11,X2S,P3,37 - J12 - 2/1,37,4,A,,,,,
P22,5,13,alpha,JP3,X0S,P4,37 - J13 - 4/3,37,7,A,,,,,
